servicio_id;inventario_id;cliente_id;cliente_nombre;tipo_equipo;marca;modelo;plan_id;actividad;fecha_inicio;fecha_fin;horas_servicio;Horas_servicio_HHMM;tecnico;resultado;repuestos_usados;costo_manodeobra_ars;costo_repuestos_ars;costo_total_ars;ubicacion;Repuestos_Usados_Filtro;Ubicacion_Clientes;Tecnicos_Bigtools
SV-000011;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-006;Revisión de válvulas y ajuste de holgura;2/6/2025;3/6/2025;1275;12h 45min;S. López;OK;Sin_repuestos;87150;0;87150;Oficina 2 - Tolhuin;Sin_repuestos;Tolhuin;Tecnico 7: López
SV-000012;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-007;Verificación de batería y alternador;27/11/2024;2027/13/40;4;0h 24min;J. Pérez;Reparado;Sin_repuestos;14000;0;14000;Oficina 2 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 2: Pérez
SV-000013;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-007;Verificación de batería y alternador;4/3/2025;3/5/2025;61;0h 37min;L. Gómez;OK;Sin_repuestos;21350;0;21350;Oficina 2 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 3: Gómez L.
SV-000014;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-007;Verificación de batería y alternador;1/6/2025;2/6/2025;73;0h 44min;R. Soto;Observaciones;Sin_repuestos;25550;0;0;Oficina 2 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 6: Soto
SV-000015;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-007;Verificación de batería y alternador;31/8/2025;1/9/2025;61;0h 37min;A. Torres;OK;Sin_repuestos;21350;0;21350;Oficina 2 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 1: Torres
SV-000016;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-008;Limpieza de tanque de combustible;7/6/2024;8/6/2024;181;1h 49min;A. Torres;OK;Sin_repuestos;63350;0;63350;Oficina 2 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 1: Torres
SV-000017;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-008;Limpieza de tanque de combustible;6/6/2025;7/6/2025;194;1h 56min;S. López;OK;Sin_repuestos;67900;0;67900;Oficina 2 - Tolhuin;Sin_repuestos;Tolhuin;Tecnico 7: López
SV-000018;EQP-0005;CLI-001;Cliente 001;Motor Cummins;Cummins;QSB 6.7;CU-009;Ensayo de carga y control de emisiones;25/5/2024;26/5/2024;185;1h 51min;S. López;OK;Sin_repuestos;64750;0;64750;Oficina 2 - Tolhuin;Sin_repuestos;Tolhuin;Tecnico 7: López
SV-000019;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-001;Cambio de aceite y filtro;2027/13/40;1/4/2025;152;1h 31min;M. Ruiz;OK;"aceite:30400; filtro_aceite:16456";45600;0;92456;Planta 3 - Río Grande;Se_utilizo_repuestos;Río Grande;Técnico 5: Ruiz
SV-000020;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-001;Cambio de aceite y filtro;7/10/2025;8/10/2025;151;1h 31min;M. Gómez;OK;"aceite:27137; filtro_aceite:15548";0;42685;87985;Planta 3 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 4: Gomez M.
SV-000021;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-003;Revisión de bujías y electrodos;23/9/2025;24/9/2025;125;1h 15min;R. Soto;OK;bujias:12482;37500;12482;49982;Planta 3 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Técnico 6: Soto
SV-000022;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-004;Comprobación de batería y cargador;5/1/2025;6/1/2025;43;0h 26min;R. Soto;Reparado;Sin_repuestos;12900;0;12900;Planta 3 - Ushuaia;Sin_repuestos;Ushuaia;Técnico 6: Soto
SV-000023;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-004;Comprobación de batería y cargador;1/4/2025;2/4/2025;66;0h 40min;J. Pérez;Reparado;Sin_repuestos;19800;0;0;Planta 3 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 2: Pérez
SV-000024;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-004;Comprobación de batería y cargador;25/9/2025;26/9/2025;34;0h 20min;J. Pérez;Observaciones;Sin_repuestos;10200;0;10200;Planta 3 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 2: Pérez
SV-000025;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-005;Verificación de válvulas y ajuste de luz;2/10/2025;3/10/2025;112;1h 7min;S. López;Reparado;Sin_repuestos;33600;0;33600;Planta 3 - Río Grande;Sin_repuestos;Río Grande;Tecnico 7: López
SV-000026;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-006;Prueba de carga en modo manual;1/10/2024;2/10/2024;57;0h 34min;M. Ruiz;Reparado;Sin_repuestos;17100;0;17100;Planta 3 - Río Grande;Sin_repuestos;Río Grande;Técnico 5: Ruiz
SV-000027;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-006;Prueba de carga en modo manual;24/12/2024;25/12/2024;91;0h 55min;M. Gómez;Reparado;Sin_repuestos;0;0;27300;Planta 3 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 4: Gomez M.
SV-000028;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-006;Prueba de carga en modo manual;30/6/2025;1/7/2025;83;0h 50min;R. Soto;Observaciones;Sin_repuestos;24900;0;24900;Planta 3 - Ushuaia;Sin_repuestos;Ushuaia;Técnico 6: Soto
SV-000029;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-006;Prueba de carga en modo manual;26/9/2025;27/9/2025;93;0h 56min;M. Gómez;Observaciones;Sin_repuestos;27900;0;0;Planta 3 - Ushuaia;Sin_repuestos;Ushuaia;Técnico 4: Gomez M.
SV-000030;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-007;Limpieza de compartimiento y protección anticorrosión;2027/13/40;31/12/1999;62;0h 37min;R. Soto;OK;Sin_repuestos;18600;0;18600;Planta 3 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 6: Soto
SV-000031;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-008;Verificación de sistema de arranque automático;4/10/2024;5/10/2024;26;0h 16min;M. Ruiz;OK;Sin_repuestos;7800;0;7800;Planta 3 - Río Grande;Sin_repuestos;Río Grande;Técnico 5: Ruiz
SV-000032;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-008;Verificación de sistema de arranque automático;4/4/2025;31/12/1999;7;0h 42min;M. Ruiz;OK;Sin_repuestos;21000;0;21000;Planta 3 - Ushuaia;Sin_repuestos;Ushuaia;Técnico 5: Ruiz
SV-000033;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-008;Verificación de sistema de arranque automático;4/10/2025;5/10/2025;82;0h 49min;M. Gómez;Reparado;Sin_repuestos;24600;0;24600;Planta 3 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 4: Gomez M.
SV-000034;EQP-0048;CLI-001;Cliente 001;Generador Generac Guardian;Generac;Guardian 8 kVA (50Hz);GG-009;Ensayo general y actualización de firmware;2/10/2024;3/10/2024;88;0h 53min;A. Torres;OK;Sin_repuestos;0;0;0;Planta 3 - Ushuaia;Sin_repuestos;Ushuaia;Técnico 1: Torres
SV-000035;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-001;Cambio de aceite de motor y filtro;1/9/2022;31/12/1999;168;1h 41min;J. Pérez;Reparado;"aceite:29551; filtro_aceite:17771";47040;47322;94362;Planta 4 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Técnico 2: Pérez
SV-000036;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-001;Cambio de aceite de motor y filtro;29/8/2023;30/8/2023;187;1h 52min;M. Gómez;Reparado;"aceite:22030; filtro_aceite:11618";52360;33648;86008;Planta 4 - Río Grande;Se_utilizo_repuestos;Río Grande;Técnico 4: Gomez M.
SV-000037;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-001;Cambio de aceite de motor y filtro;2/12/2023;3/12/2023;203;2h 2min;J. Pérez;OK;"aceite:15241; filtro_aceite:11029";56840;26270;83110;Planta 4 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 2: Pérez
SV-000038;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-001;Cambio de aceite de motor y filtro;1/6/2024;2/6/2024;149;1h 29min;L. Gómez;OK;"aceite:21179; filtro_aceite:11918";41720;33097;74817;Planta 4 - Río Grande;Se_utilizo_repuestos;Río Grande;Técnico 3: Gómez L.
SV-000039;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-001;Cambio de aceite de motor y filtro;2/9/2024;3/9/2024;257;2h 34min;R. Soto;Reparado;"aceite:34961; filtro_aceite:12531";71960;0;0;Planta 4 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 6: Soto
SV-000040;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-001;Cambio de aceite de motor y filtro;23/11/2024;24/11/2024;224;2h 14min;L. Gómez;OK;"aceite:25795; filtro_aceite:8787";62720;34582;97302;Planta 4 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 3: Gómez L.
SV-000041;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-001;Cambio de aceite de motor y filtro;23/2/2025;24/2/2025;192;1h 55min;A. Torres;OK;"aceite:21220; filtro_aceite:12607";53760;33827;87587;Planta 4 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 1: Torres
SV-000042;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-001;Cambio de aceite de motor y filtro;28/8/2025;29/8/2025;183;1h 50min;A. Torres;Observaciones;"aceite:31498; filtro_aceite:15158";51240;46656;97896;Planta 4 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Técnico 1: Torres
SV-000043;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-002;Reemplazo de filtro de aire;2/3/2022;3/3/2022;79;0h 47min;M. Gómez;Observaciones;filtro_aire:16479;22120;16479;38599;Planta 4 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Técnico 4: Gomez M.
SV-000044;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-002;Reemplazo de filtro de aire;5/9/2022;6/9/2022;111;1h 7min;J. Pérez;Reparado;filtro_aire:16726;0;16726;47806;Planta 4 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 2: Pérez
SV-000045;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-002;Reemplazo de filtro de aire;26/2/2023;27/2/2023;113;1h 8min;S. López;OK;filtro_aire:25009;31640;25009;56649;Planta 4 - Río Grande;Se_utilizo_repuestos;Río Grande;Tecnico 7: López
SV-000046;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-002;Reemplazo de filtro de aire;7/3/2024;3/8/2024;101;1h 1min;S. López;OK;filtro_aire:23942;28280;23942;52222;Planta 4 - Río Grande;Se_utilizo_repuestos;Río Grande;Tecnico 7: López
SV-000047;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-002;Reemplazo de filtro de aire;26/8/2024;27/8/2024;9168;91h 41min;M. Ruiz;Reparado;filtro_aire:17406;28840;17406;46246;Planta 4 - Río Grande;Se_utilizo_repuestos;Río Grande;Técnico 5: Ruiz
SV-000048;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;26/2/2022;27/2/2022;158;1h 35min;L. Gómez;OK;Sin_repuestos;44240;0;44240;Planta 4 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 3: Gómez L.
SV-000049;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;27/5/2022;28/5/2022;18;1h 48min;M. Gómez;Reparado;Sin_repuestos;50400;0;50400;Planta 4 - Ushuaia;Sin_repuestos;Ushuaia;Técnico 4: Gomez M.
SV-000050;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;3/9/2022;4/9/2022;156;1h 34min;L. Gómez;OK;Sin_repuestos;43680;0;43680;Planta 4 - Río Grande;Sin_repuestos;Río Grande;Técnico 3: Gómez L.
SV-000051;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;1/12/2022;2/12/2022;147;1h 28min;R. Soto;Observaciones;Sin_repuestos;41160;0;41160;Planta 4 - Río Grande;Sin_repuestos;Río Grande;Técnico 6: Soto
SV-000052;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;21/2/2023;22/2/2023;169;1h 41min;L. Gómez;OK;Sin_repuestos;47320;0;47320;Planta 4 - Río Grande;Sin_repuestos;Río Grande;Técnico 3: Gómez L.
SV-000053;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;24/11/2023;25/11/2023;131;1h 19min;R. Soto;OK;Sin_repuestos;36680;0;36680;Planta 4 - Río Grande;Sin_repuestos;Río Grande;Técnico 6: Soto
SV-000054;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;05/25/2024;26/5/2024;174;1h 44min;J. Pérez;OK;Sin_repuestos;48720;0;48720;Planta 4 - Ushuaia;Sin_repuestos;Ushuaia;Técnico 2: Pérez
SV-000055;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;9/7/2024;8/9/2024;162;1h 37min;S. López;OK;Sin_repuestos;45360;0;0;Planta 4 - Ushuaia;Sin_repuestos;Ushuaia;Tecnico 7: López
SV-000056;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-003;Limpieza de sistema de combustible y drenaje de sedimentos;31/8/2025;1/9/2025;127;1h 16min;M. Ruiz;Reparado;Sin_repuestos;35560;0;35560;Planta 4 - Río Grande;Sin_repuestos;Río Grande;Técnico 5: Ruiz
SV-000057;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-004;Revisión de correas de ventilador y tensión;24/2/2022;25/2/2022;96;0h 58min;M. Gómez;OK;correas:28923;26880;28923;55803;Planta 4 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 4: Gomez M.
SV-000058;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-004;Revisión de correas de ventilador y tensión;1/3/2023;2/3/2023;93;0h 56min;A. Torres;OK;correas:19776;26040;19776;45816;Planta 4 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 1: Torres
SV-000059;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-004;Revisión de correas de ventilador y tensión;25/2/2024;26/2/2024;97;0h 58min;R. Soto;OK;correas:26203;27160;0;53363;Planta 4 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 6: Soto
SV-000060;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-004;Revisión de correas de ventilador y tensión;26/2/2025;31/12/1999;111;1h 7min;M. Ruiz;OK;correas:25405;31080;25405;56485;Planta 4 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Técnico 5: Ruiz
SV-000061;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-005;Limpieza de radiador y sistema de refrigeración;30/8/2022;31/8/2022;187;1h 52min;M. Gómez;Reparado;Sin_repuestos;52360;0;52360;Planta 4 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 4: Gomez M.
SV-000062;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-005;Limpieza de radiador y sistema de refrigeración;24/8/2023;25/8/2023;159;1h 35min;M. Gómez;OK;Sin_repuestos;44520;0;44520;Planta 4 - Tolhuin;Sin_repuestos;Tolhuin;Técnico 4: Gomez M.
SV-000063;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-005;Limpieza de radiador y sistema de refrigeración;27/2/2024;28/2/2024;167;1h 40min;J. Pérez;OK;Sin_repuestos;46760;0;46760;Planta 4 - Ushuaia;Sin_repuestos;Ushuaia;Técnico 2: Pérez
SV-000064;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-005;Limpieza de radiador y sistema de refrigeración;27/8/2024;28/8/2024;128;1h 17min;S. López;Reparado;Sin_repuestos;35840;0;0;Planta 4 - Río Grande;Sin_repuestos;Río Grande;Tecnico 7: López
SV-000065;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-005;Limpieza de radiador y sistema de refrigeración;08/24/2025;25/8/2025;144;1h 26min;R. Soto;OK;Sin_repuestos;40320;0;40320;Planta 4 - Río Grande;Sin_repuestos;Río Grande;Técnico 6: Soto
SV-000066;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;4/3/2022;5/3/2022;123;1h 14min;A. Torres;OK;filtro_combustible:19167;34440;19167;0;Planta 4 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 1: Torres
SV-000067;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;31/5/2022;31/12/1999;104;1h 2min;R. Soto;OK;filtro_combustible:17419;29120;17419;46539;Planta 4 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Técnico 6: Soto
SV-000068;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;5/9/2022;6/9/2022;105;1h 3min;A. Torres;OK;filtro_combustible:19070;29400;19070;48470;Planta 4 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 1: Torres
SV-000069;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;2027/13/40;28/11/2022;97;0h 58min;M. Gómez;OK;filtro_combustible:23365;0;23365;0;Planta 4 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Técnico 4: Gomez M.
SV-000070;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;3/3/2023;4/3/2023;4623;46h 14min;S. López;Reparado;filtro_combustible:10463;32200;10463;42663;Planta 4 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Tecnico 7: López
SV-000071;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;6/1/2023;6/2/2023;112;1h 7min;M. Ruiz;OK;filtro_combustible:17719;31360;17719;49079;Planta 4 - Río Grande;Se_utilizo_repuestos;Río Grande;Técnico 5: Ruiz
SV-000072;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;28/8/2023;29/8/2023;84;0h 50min;S. López;Reparado;filtro_combustible:9698;23520;9698;33218;Planta 4 - Río Grande;Se_utilizo_repuestos;Río Grande;Tecnico 7: López
SV-000073;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;29/11/2023;31/12/1999;116;1h 10min;J. Pérez;OK;filtro_combustible:21522;32480;0;54002;Planta 4 - Río Grande;Se_utilizo_repuestos;Río Grande;Técnico 2: Pérez
SV-000074;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;25/2/2024;26/2/2024;98;0h 59min;A. Torres;OK;filtro_combustible:20630;27440;20630;48070;Planta 4 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 1: Torres
SV-000075;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;24/5/2024;25/5/2024;97;0h 58min;J. Pérez;Reparado;filtro_combustible:19859;27160;19859;0;Planta 4 - Río Grande;Se_utilizo_repuestos;Río Grande;Técnico 2: Pérez
SV-000076;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;26/8/2024;27/8/2024;109;1h 5min;J. Pérez;OK;filtro_combustible:20715;0;20715;51235;Planta 4 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 2: Pérez
SV-000077;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;25/11/2024;26/11/2024;-11576;-115h -46min;M. Gómez;OK;filtro_combustible:17374;35560;17374;52934;Planta 4 - Río Grande;Se_utilizo_repuestos;Río Grande;Técnico 4: Gomez M.
SV-000078;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;1/3/2025;2/3/2025;1;1h 0min;L. Gómez;OK;filtro_combustible:18965;28000;18965;46965;Planta 4 - Tolhuin;Se_utilizo_repuestos;Tolhuin;Técnico 3: Gómez L.
SV-000079;EQP-0082;CLI-001;Cliente 001;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-006;Cambio de filtro de combustible;3/6/2025;4/6/2025;98;0h 59min;M. Gómez;OK;filtro_combustible:22133;27440;22133;49573;Planta 4 - Ushuaia;Se_utilizo_repuestos;Ushuaia;Técnico 4: Gomez M.
