inventario_id;cliente_id;cliente_nombre;tipo_equipo;marca;modelo;fecha_lectura;horometro_h;ubicacion;ciudad;localidad;fecha_lectura_normalizada
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/11/2022 00:00;31;Taller 1 - Río Grande;Río Grande;Taller 1;1-nov-22
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/11/2022 00:00;108;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-nov-22
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/12/2022 00:00;64223;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-dic-22
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/12/2022 00:00;1196;Obra 1 - Río Grande;Río Grande;Obra 1;1-dic-22
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/12/2022 00:00;364;Taller 1 - Río Grande;Río Grande;Taller 1;1-dic-22
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/1/2023 00:00;1260;Obra 1 - Río Grande;Río Grande;Obra 1;1-ene-23
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/1/2023 00:00;111778;Taller 1 - Río Grande;Río Grande;Taller 1;1-ene-23
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/1/2023 00:00;426;Taller 1 - Río Grande;Río Grande;Taller 1;1-ene-23
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;8/1/2023;684;Taller 1 - Río Grande;Río Grande;Taller 1;8-ene-23
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;10/1/2023;2076;Oficina 3 - Río Grande;Río Grande;Oficina 3;10-ene-23
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/2/2023 00:00;1420;Obra 1 - Río Grande;Río Grande;Obra 1;1-feb-23
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/2/2023 00:00;454;Taller 1 - Río Grande;Río Grande;Taller 1;1-feb-23
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/3/2023;1591;Obra 1 - Río Grande;Río Grande;Obra 1;1-mar-23
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/3/2023 00:00;480;Taller 1 - Río Grande;Río Grande;Taller 1;1-mar-23
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/4/2023 00:00;1459;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-abr-23
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/4/2023;38085;Taller 1 - Río Grande;Río Grande;Taller 1;1-abr-23
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/5/2023 00:00;1853;Obra 1 - Río Grande;Río Grande;Obra 1;1-may-23
EQP-0095;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/5/2023 00:00;1399;Taller 2 - Río Grande;Río Grande;Taller 2;1-may-23
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/5/2023 00:00;152;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-may-23
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/5/2023 00:00;566;Taller 1 - Río Grande;Río Grande;Taller 1;1-may-23
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/6/2023 00:00;1660;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-jun-23
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/6/2023 00:00;1932;Obra 1 - Río Grande;Río Grande;Obra 1;1-jun-23
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/7/2023 00:00;1731;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-jul-23
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/7/2023 00:00;1991;Obra 1 - Río Grande;Río Grande;Obra 1;1-jul-23
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/7/2023 00:00;634;Taller 1 - Río Grande;Río Grande;Taller 1;1-jul-23
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/8/2023 00:00;1863;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-ago-23
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/8/2023 00:00;2118;Obra 1 - Río Grande;Río Grande;Obra 1;1-ago-23
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/8/2023 00:00;186;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-ago-23
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/9/2023 00:00;75;Taller 1 - Río Grande;Río Grande;Taller 1;1-sept-23
EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/9/2023 00:00;78041;Sucursal 4 - Río Grande;Río Grande;Sucursal 4;1-sept-23
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/9/2023 00:00;2207;Obra 1 - Río Grande;Río Grande;Obra 1;1-sept-23
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/9/2023 00:00;2207;Obra 1 - Río Grande;Río Grande;Obra 1;1-sept-23
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/10/2023 00:00;80;Taller 1 - Río Grande;Río Grande;Taller 1;1-oct-23
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/10/2023 00:00;232;Obra 1 - Río Grande;Río Grande;Obra 1;1-oct-23
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/10/2023 00:00;2323;Obra 1 - Río Grande;Río Grande;Obra 1;1-oct-23
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/11/2023 00:00;2160;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-nov-23
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/11/2023 00:00;7531;Obra 1 - Río Grande;Río Grande;Obra 1;1-nov-23
EQP-0095;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/11/2023 00:00;1788;Taller 2 - Río Grande;Río Grande;Taller 2;1-nov-23
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/12/2023 00:00;920;Taller 1 - Río Grande;Río Grande;Taller 1;1-dic-23
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/12/2023 00:00;2239;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-dic-23
EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/12/2023 00:00;2725;Sucursal 4 - Río Grande;Río Grande;Sucursal 4;1-dic-23
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/12/2023 00:00;2581;Obra 1 - Río Grande;Río Grande;Obra 1;1-dic-23
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/1/2024 00:00;32208;Taller 1 - Río Grande;Río Grande;Taller 1;1-ene-24
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/1/2024 00:00;2369;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-ene-24
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/1/2024 00:00;2660;Obra 1 - Río Grande;Río Grande;Obra 1;1-ene-24
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/1/2024 00:00;2660;Obra 1 - Río Grande;Río Grande;Obra 1;1-ene-24
EQP-0095;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;2/1/2024;1960;Taller 2 - Río Grande;Río Grande;Taller 2;2-ene-24
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;4/1/2024;3030;Obra 5 - Río Grande;Río Grande;Obra 5;4-ene-24
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;5/1/2024;98;Obra 4 - Río Grande;Río Grande;Obra 4;5-ene-24
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;8/1/2024;1265;Taller 1 - Río Grande;Río Grande;Taller 1;8-ene-24
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;9/1/2024;226;Obra 4 - Río Grande;Río Grande;Obra 4;9-ene-24
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;12/1/2024;3603;Oficina 3 - Río Grande;Río Grande;Oficina 3;12-ene-24
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/2/2024 00:00;2475;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-feb-24
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/2/2024 00:00;1025;Taller 1 - Río Grande;Río Grande;Taller 1;1-feb-24
EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/2/2024;2972;Sucursal 4 - Río Grande;Río Grande;Sucursal 4;1-feb-24
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/2/2024 00:00;2799;Obra 1 - Río Grande;Río Grande;Obra 1;1-feb-24
EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/3/2024 00:00;3124;Sucursal 4 - Río Grande;Río Grande;Sucursal 4;1-mar-24
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/3/2024 00:00;2970;Planta 3 - Río Grande;Río Grande;Planta 3;1-mar-24
EQP-0095;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/3/2024 00:00;205;Taller 2 - Río Grande;Río Grande;Taller 2;1-mar-24
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/3/2024 00:00;2616;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-mar-24
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/3/2024 00:00;87861;Obra 4 - Río Grande;Río Grande;Obra 4;1-mar-24
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/4/2024 00:00;80;Obra 4 - Río Grande;Río Grande;Obra 4;1-abr-24
EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/4/2024 00:00;3175;Sucursal 4 - Río Grande;Río Grande;Sucursal 4;1-abr-24
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/4/2024 00:00;1105;Taller 1 - Río Grande;Río Grande;Taller 1;1-abr-24
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/4/2024 00:00;2728;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-abr-24
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/4/2024 00:00;80;Obra 4 - Río Grande;Río Grande;Obra 4;1-abr-24
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/5/2024 00:00;2809;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-may-24
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/5/2024 00:00;3186;Obra 1 - Río Grande;Río Grande;Obra 1;1-may-24
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/5/2024 00:00;1164;Taller 1 - Río Grande;Río Grande;Taller 1;1-may-24
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/6/2024 00:00;2950;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-jun-24
EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/6/2024 00:00;3373;Sucursal 4 - Río Grande;Río Grande;Sucursal 4;1-jun-24
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/6/2024 00:00;1200;Taller 1 - Río Grande;Río Grande;Taller 1;1-jun-24
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/6/2024 00:00;3324;Obra 1 - Río Grande;Río Grande;Obra 1;1-jun-24
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/7/2024 00:00;1235;Taller 1 - Río Grande;Río Grande;Taller 1;1-jul-24
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/7/2024 00:00;171;Obra 4 - Río Grande;Río Grande;Obra 4;1-jul-24
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/7/2024 00:00;3493;Obra 1 - Río Grande;Río Grande;Obra 1;1-jul-24
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/8/2024;187;Obra 4 - Río Grande;Río Grande;Obra 4;1-ago-24
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/8/2024 00:00;3604;Obra 1 - Río Grande;Río Grande;Obra 1;1-ago-24
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/8/2024 00:00;1265;Taller 1 - Río Grande;Río Grande;Taller 1;1-ago-24
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/9/2024 00:00;226;Obra 4 - Río Grande;Río Grande;Obra 4;1-sept-24
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/9/2024 00:00;330;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-sept-24
EQP-0095;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/9/2024 00:00;2614;Taller 2 - Río Grande;Río Grande;Taller 2;1-sept-24
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/9/2024 00:00;3774;Obra 1 - Río Grande;Río Grande;Obra 1;1-sept-24
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/9/2024 00:00;1306;Taller 1 - Río Grande;Río Grande;Taller 1;1-sept-24
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/10/2024 00:00;3366;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-oct-24
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/10/2024 00:00;391;Obra 1 - Río Grande;Río Grande;Obra 1;1-oct-24
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/10/2024 00:00;1366;Taller 1 - Río Grande;Río Grande;Taller 1;1-oct-24
EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/10/2024 00:00;3840;Sucursal 4 - Río Grande;Río Grande;Sucursal 4;1-oct-24
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/11/2024 00:00;308;Obra 4 - Río Grande;Río Grande;Obra 4;1-nov-24
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/11/2024 00:00;1434;Taller 1 - Río Grande;Río Grande;Taller 1;1-nov-24
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/11/2024 00:00;3465;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-nov-24
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/12/2024 00:00;4055;Obra 1 - Río Grande;Río Grande;Obra 1;1-dic-24
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/12/2024 00:00;1483;Taller 1 - Río Grande;Río Grande;Taller 1;1-dic-24
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/12/2024 00:00;7805;Obra 4 - Río Grande;Río Grande;Obra 4;1-dic-24
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/1/2025 00:00;352;Obra 4 - Río Grande;Río Grande;Obra 4;1-ene-25
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/1/2025 00:00;3705;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-ene-25
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/1/2025 00:00;1545;Taller 1 - Río Grande;Río Grande;Taller 1;1-ene-25
EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/1/2025 00:00;4087;Sucursal 4 - Río Grande;Río Grande;Sucursal 4;1-ene-25
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;9/1/2025;5015;Obra 1 - Río Grande;Río Grande;Obra 1;9-ene-25
EQP-0095;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;10/1/2025;364;Taller 2 - Río Grande;Río Grande;Taller 2;10-ene-25
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;10/1/2025;2029;Taller 1 - Río Grande;Río Grande;Taller 1;10-ene-25
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/2/2025;3808;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-feb-25
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/2/2025 00:00;393;Obra 4 - Río Grande;Río Grande;Obra 4;1-feb-25
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/2/2025 00:00;1568;Taller 1 - Río Grande;Río Grande;Taller 1;1-feb-25
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/3/2025 00:00;432;Obra 4 - Río Grande;Río Grande;Obra 4;1-mar-25
EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/3/2025 00:00;385;Oficina 3 - Río Grande;Río Grande;Oficina 3;1-mar-25
EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/4/2025 00:00;472;Obra 4 - Río Grande;Río Grande;Obra 4;1-abr-25
EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/4/2025 00:00;1670;Taller 1 - Río Grande;Río Grande;Taller 1;1-abr-25
EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;1/4/2025;4553;Obra 1 - Río Grande;Río Grande;Obra 1;1-abr-25
