inventario_id;cliente_id;Locacion;tipo_equipo;marca;modelo;plan_id;actividad;frecuencia_meses;criticidad;programado_para;programado_para_normalizada;estado;fecha_ejecucion;fecha_ejecucion_normalizada;responsable;duracion_estimada_h;Ciudad
EQP-0027;CLI-049;Depósito 5 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;domingo, 1 de junio de 2025;Planificado;Sin datos;;M. Gómez;5; Tolhuin
EQP-0073;CLI-044;Obra 4 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de junio de 2024;Planificado;Sin datos;;M. Gómez;5; Río Grande
EQP-0027;CLI-049;Depósito 5 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;jueves, 1 de junio de 2023;Planificado;Sin datos;;J. Pérez;5; Tolhuin
EQP-0072;CLI-032;Oficina 5 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;jueves, 1 de mayo de 2025;Planificado;Sin datos;;M. Ruiz;5; Ushuaia
EQP-0059;CLI-049;Oficina 1 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de mayo de 2024;Planificado;Sin datos;;L. Gómez;5; Ushuaia
EQP-0038;CLI-044;Taller 1 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;lunes, 1 de mayo de 2023;Planificado;Sin datos;;A. Torres;5; Río Grande
EQP-0038;CLI-044;Taller 1 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;domingo, 1 de mayo de 2022;Planificado;Sin datos;;R. Soto;5; Río Grande
EQP-0038;CLI-044;Taller 1 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;domingo, 1 de mayo de 2022;Planificado;Sin datos;;R. Soto;5; Río Grande
EQP-0042;CLI-048;Oficina 1 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de abril de 2025;Planificado;Sin datos;;A. Torres;5; Ushuaia
EQP-0093;CLI-030;Sucursal 4 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de abril de 2025;Planificado;Sin datos;;L. Gómez;5; Ushuaia
EQP-0081;CLI-040;Obra 5 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de abril de 2025;Planificado;Sin datos;;M. Gómez;5; Río Grande
EQP-0044;CLI-017;Taller 5 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de abril de 2025;Planificado;Sin datos;;Sin datos;5; Río Grande
EQP-0098;CLI-039;Sucursal 3 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de abril de 2025;Planificado;Sin datos;;R. Soto;5; Tolhuin
EQP-0057;CLI-030;Planta 4 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de abril de 2025;Planificado;Sin datos;;L. Gómez;5; Tolhuin
EQP-0095;CLI-044;Taller 2 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de abril de 2025;Planificado;Sin datos;;M. Ruiz;5; Tolhuin
EQP-0066;CLI-026;Obra 5 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de abril de 2025;Planificado;Sin datos;;A. Torres;5; Río Grande
EQP-0034;CLI-044;Obra 1 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;lunes, 1 de abril de 2024;Planificado;Sin datos;;Sin datos;5; Río Grande
EQP-0011;CLI-049;Obra 5 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;lunes, 1 de abril de 2024;Planificado;Sin datos;;M. Gómez;5; Río Grande
EQP-0003;CLI-048;Taller 3 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de abril de 2023;Planificado;Sin datos;;J. Pérez;5; Tolhuin
EQP-0034;CLI-044;Obra 1 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de abril de 2023;Planificado;Sin datos;;S. López;5; Río Grande
EQP-0066;CLI-026;Obra 5 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de abril de 2023;Planificado;Sin datos;;M. Ruiz;5; Río Grande
EQP-0098;CLI-039;Sucursal 3 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de abril de 2023;Planificado;Sin datos;;M. Ruiz;5; Ushuaia
EQP-0004;CLI-049;Planta 4 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de abril de 2023;Planificado;Sin datos;;A. Torres;5; Tolhuin
EQP-0012;CLI-030;Depósito 2 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de abril de 2023;Planificado;Sin datos;;J. Pérez;5; Río Grande
EQP-0041;CLI-005;Taller 2 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de abril de 2023;Planificado;Sin datos;;R. Soto;5; Río Grande
EQP-0084;CLI-044;Oficina 3 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de abril de 2023;Planificado;Sin datos;;M. Ruiz;5; Río Grande
EQP-0057;CLI-030;Planta 4 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de abril de 2023;Planificado;Sin datos;;R. Soto;5; Tolhuin
EQP-0066;CLI-026;Obra 5 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;viernes, 1 de abril de 2022;Planificado;Sin datos;;L. Gómez;5; Tolhuin
EQP-0057;CLI-030;Planta 4 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;viernes, 1 de abril de 2022;Planificado;Sin datos;;M. Gómez;5; Tolhuin
EQP-0084;CLI-044;Oficina 3 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;viernes, 1 de abril de 2022;Planificado;Sin datos;;M. Ruiz;5; Río Grande
EQP-0057;CLI-030;Planta 4 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;viernes, 1 de abril de 2022;Planificado;Sin datos;;M. Gómez;5; Tolhuin
EQP-0082;CLI-001;Planta 4 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de marzo de 2025;Planificado;Sin datos;;L. Gómez;5; Ushuaia
EQP-0055;CLI-049;Planta 1 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de marzo de 2025;Planificado;Sin datos;;L. Gómez;5; Ushuaia
EQP-0055;CLI-049;Planta 1 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;viernes, 1 de marzo de 2024;Planificado;Sin datos;;R. Soto;5; Río Grande
EQP-0058;CLI-008;Oficina 5 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de marzo de 2023;Planificado;Sin datos;;R. Soto;5; Tolhuin
EQP-0082;CLI-001;Planta 4 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de marzo de 2023;Planificado;Sin datos;;M. Gómez;5; Tolhuin
EQP-0038;CLI-044;Taller 1 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de febrero de 2025;Planificado;Sin datos;;L. Gómez;5; Río Grande
EQP-0059;CLI-049;Oficina 1 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de febrero de 2025;Planificado;Sin datos;;A. Torres;5; Río Grande
EQP-0059;CLI-049;Oficina 1 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de febrero de 2025;Planificado;Sin datos;;A. Torres;5; Río Grande
EQP-0059;CLI-049;Oficina 1 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;jueves, 1 de febrero de 2024;Planificado;Sin datos;;M. Ruiz;5; Ushuaia
EQP-0058;CLI-008;Oficina 5 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;domingo, 1 de diciembre de 2024;Planificado;Sin datos;;L. Gómez;5; Río Grande
EQP-0058;CLI-008;Oficina 5 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;viernes, 1 de diciembre de 2023;Planificado;Sin datos;;Sin datos;5; Río Grande
EQP-0082;CLI-001;Planta 4 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;jueves, 1 de diciembre de 2022;Planificado;Sin datos;;M. Gómez;5; Ushuaia
EQP-0027;CLI-049;Depósito 5 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;jueves, 1 de diciembre de 2022;Planificado;Sin datos;;A. Torres;5; Tolhuin
EQP-0016;CLI-049;Oficina 5 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;viernes, 1 de noviembre de 2024;Planificado;Sin datos;;M. Ruiz;5; Río Grande
EQP-0059;CLI-049;Oficina 1 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de noviembre de 2022;Planificado;Sin datos;;M. Gómez;5; Río Grande
EQP-0018;CLI-026;Obra 3 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de octubre de 2025;Planificado;Sin datos;;M. Ruiz;5; Ushuaia
EQP-0034;CLI-044;Obra 1 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de octubre de 2025;Planificado;Sin datos;;M. Ruiz;5; Río Grande
EQP-0098;CLI-039;Sucursal 3 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de octubre de 2025;Planificado;Sin datos;;R. Soto;5; Ushuaia
EQP-0045;CLI-005;Sucursal 3 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de octubre de 2025;Planificado;Sin datos;;S. López;5; Río Grande
EQP-0014;CLI-044;Sucursal 4 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de octubre de 2025;Planificado;Sin datos;;S. López;5; Tolhuin
EQP-0042;CLI-048;Oficina 1 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de octubre de 2025;Planificado;Sin datos;;M. Ruiz;5; Ushuaia
EQP-0014;CLI-044;Sucursal 4 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de octubre de 2025;Planificado;Sin datos;;S. López;5; Río Grande
EQP-0099;CLI-005;Depósito 4 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de octubre de 2025;Planificado;Sin datos;;R. Soto;5; Ushuaia
EQP-0099;CLI-005;Depósito 4 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de octubre de 2024;Planificado;Sin datos;;R. Soto;5; Tolhuin
EQP-0011;CLI-049;Obra 5 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de octubre de 2024;Planificado;Sin datos;;M. Gómez;5; Río Grande
EQP-0081;CLI-040;Obra 5 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de octubre de 2024;Planificado;Sin datos;;M. Ruiz;5; Tolhuin
EQP-0084;CLI-044;Oficina 3 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de octubre de 2024;Planificado;Sin datos;;S. López;5; Río Grande
EQP-0042;CLI-048;Oficina 1 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;martes, 1 de octubre de 2024;Planificado;Sin datos;;R. Soto;5; Ushuaia
EQP-0057;CLI-030;Planta 4 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;domingo, 1 de octubre de 2023;Planificado;Sin datos;;Sin datos;5; Tolhuin
EQP-0042;CLI-048;Oficina 1 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;domingo, 1 de octubre de 2023;Planificado;Sin datos;;S. López;5; Ushuaia
EQP-0001;CLI-025;Sucursal 3 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;domingo, 1 de octubre de 2023;Planificado;Sin datos;;M. Ruiz;5; Río Grande
EQP-0087;CLI-038;Oficina 1 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;domingo, 1 de octubre de 2023;Planificado;Sin datos;;A. Torres;5; Tolhuin
EQP-0042;CLI-048;Oficina 1 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;domingo, 1 de octubre de 2023;Planificado;Sin datos;;S. López;5; Ushuaia
EQP-0093;CLI-030;Sucursal 4 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de octubre de 2022;Planificado;Sin datos;;M. Gómez;5; Ushuaia
EQP-0034;CLI-044;Obra 1 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;sábado, 1 de octubre de 2022;Planificado;Sin datos;;M. Gómez;5; Río Grande
EQP-0045;CLI-005;Sucursal 3 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de enero de 2025;Planificado;Sin datos;;R. Soto;5; Río Grande
EQP-0042;CLI-048;Oficina 1 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de enero de 2025;Planificado;Sin datos;;M. Gómez;5; Ushuaia
EQP-0066;CLI-026;Obra 5 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de enero de 2025;Planificado;Sin datos;;S. López;5; Tolhuin
EQP-0022;CLI-004;Planta 4 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de enero de 2025;Planificado;Sin datos;;S. López;5; Tolhuin
EQP-0042;CLI-048;Oficina 1 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de enero de 2025;Planificado;Sin datos;;M. Gómez;5; Ushuaia
EQP-0063;CLI-048;Sucursal 4 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de enero de 2025;Planificado;Sin datos;;A. Torres;5; Tolhuin
EQP-0011;CLI-049;Obra 5 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de enero de 2025;Planificado;Sin datos;;A. Torres;5; Río Grande
EQP-0099;CLI-005;Depósito 4 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de enero de 2025;Planificado;Sin datos;;M. Gómez;5; Ushuaia
EQP-0044;CLI-017;Taller 5 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de enero de 2025;Planificado;Sin datos;;Sin datos;5; Río Grande
EQP-0001;CLI-025;Sucursal 3 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de enero de 2025;Planificado;Sin datos;;Sin datos;5; Río Grande
EQP-0018;CLI-026;Obra 3 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de enero de 2025;Planificado;Sin datos;;A. Torres;5; Ushuaia
EQP-0012;CLI-030;Depósito 2 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;miércoles, 1 de enero de 2025;Planificado;Sin datos;;A. Torres;5; Tolhuin
EQP-0083;CLI-005;Planta 5 - Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;lunes, 1 de enero de 2024;Planificado;Sin datos;;J. Pérez;5; Tolhuin
EQP-0034;CLI-044;Obra 1 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;lunes, 1 de enero de 2024;Planificado;Sin datos;;J. Pérez;5; Río Grande
EQP-0018;CLI-026;Obra 3 - Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;lunes, 1 de enero de 2024;Planificado;Sin datos;;M. Ruiz;5; Ushuaia
EQP-0095;CLI-044;Taller 2 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;lunes, 1 de enero de 2024;Planificado;Sin datos;;L. Gómez;5; Río Grande
EQP-0018;CLI-026;Obra 3 - Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificación de batería;3;Media;;domingo, 1 de enero de 2023;Planificado;Sin datos;;R. Soto;5; Río Grande
