servicio_id;inventario_id;cliente_id;cliente_nombre;tipo_equipo;marca;modelo;plan_id;actividad;fecha_inicio;fecha_fin;horas_servicio;tecnico;resultado;repuestos_usados;costo_manodeobra_ars;costo_repuestos_ars;costo_total_ars;ubicacion;Ubicacion_cliente;Tecnicos_Bigtools;Horas_servicio_HHMM;Inicio_Service;Fin_service;Año
SV-001153;EQP-0018;CLI-026;Cliente 026;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;23/3/2023 21:00;24/3/2023 21:00;0,25;J. Pérez;OK;sin_repuestos;7.000;0;7.000;Obra 3 - Rio Grande;Rio Grande;Tecnico 1;0h 15min;23/3/2023;24/3/2023;2023
SV-001157;EQP-0018;CLI-026;Cliente 026;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;30/6/2024 21:00;1/7/2024 21:00;1,5;M. Gómez;OK;sin_repuestos;14.840;0;14.840;Obra 3 - Rio Grande;Rio Grande;Tecnico 7;1h 30min;30/6/2024;1/7/2024;2024
SV-001524;EQP-0066;CLI-026;Cliente 026;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;5/7/2023 21:00;6/7/2023 21:00;0,39;J. Pérez;OK;sin_repuestos;10.920;0;10.920;Obra 5 - Rio Grande;Rio Grande;Tecnico 1;0h 23min;5/7/2023;6/7/2023;2023
SV-001525;EQP-0066;CLI-026;Cliente 026;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/9/2023 21:00;27/9/2023 21:00;0,59;R. Soto;OK;sin_repuestos;16.520;0;16.520;Obra 5 - Rio Grande;Rio Grande;Tecnico 4;0h 35min;26/9/2023;27/9/2023;2023
SV-001526;EQP-0066;CLI-026;Cliente 026;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/12/2023 21:00;27/12/2023 21:00;0,63;S. López;OK;sin_repuestos;17.640;0;17.640;Obra 5 - Rio Grande;Rio Grande;Tecnico 5;0h 38min;26/12/2023;27/12/2023;2023
SV-001689;EQP-0012;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/6/2023 21:00;25/6/2023 21:00;0,55;R. Soto;OK;sin_repuestos;15.400;0;15.400;Deposito 2 - Rio Grande;Rio Grande;Tecnico 4;0h 33min;24/6/2023;25/6/2023;2023
SV-001691;EQP-0012;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;29/12/2023 21:00;30/12/2023 21:00;0,59;R. Soto;OK;sin_repuestos;16.520;0;16.520;Deposito 2 - Rio Grande;Rio Grande;Tecnico 4;0h 35min;29/12/2023;30/12/2023;2023
SV-001692;EQP-0012;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;3/4/2024 21:00;4/4/2024 21:00;0,46;J. Pérez;OK;sin_repuestos;12.880;0;12.880;Deposito 2 - Rio Grande;Rio Grande;Tecnico 1;0h 28min;3/4/2024;4/4/2024;2024
SV-001886;EQP-0093;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;28/12/2021 21:00;29/12/2021 21:00;0,58;S. López;OK;sin_repuestos;16.240;0;16.240;Sucursal 4 - Rio Grande;Rio Grande;Tecnico 5;0h 35min;28/12/2021;29/12/2021;2021
SV-001896;EQP-0093;CLI-030;Cliente 030;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;30/12/2024 21:00;31/12/2024 21:00;0,4;A. Torres;OK;sin_repuestos;11.200;0;11.200;Sucursal 4 - Rio Grande;Rio Grande;Tecnico 6;0h 24min;30/12/2024;31/12/2024;2024
SV-002105;EQP-0054;CLI-033;Cliente 033;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;9/4/2024 21:00;4/10/2024 21:00;0,56;M. Ruiz;OK;sin_repuestos;15.680;0;15.680;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 3;0h 34min;9/4/2024;4/10/2024;2024
SV-002106;EQP-0054;CLI-033;Cliente 033;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;25/12/2024 21:00;26/12/2024 21:00;0,25;R. Soto;OK;sin_repuestos;7.000;0;7.000;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 4;0h 15min;25/12/2024;26/12/2024;2024
SV-002107;EQP-0054;CLI-033;Cliente 033;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;23/3/2025 21:00;24/3/2025 21:00;0,49;J. Pérez;OK;sin_repuestos;13.720;0;13.720;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 1;0h 29min;23/3/2025;24/3/2025;2025
SV-002108;EQP-0054;CLI-033;Cliente 033;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;25/9/2025 21:00;26/9/2025 21:00;0,37;A. Torres;OK;sin_repuestos;10.360;0;10.360;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 6;0h 22min;25/9/2025;26/9/2025;2025
SV-002172;EQP-0006;CLI-036;Cliente 036;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/8/2024 21:00;27/8/2024 21:00;0,25;S. López;OK;sin_repuestos;7.000;0;7.000;Planta 1 - Rio Grande;Rio Grande;Tecnico 5;0h 15min;26/8/2024;27/8/2024;2024
SV-002174;EQP-0006;CLI-036;Cliente 036;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;28/2/2025 21:00;1/3/2025 21:00;0,75;R. Soto;OK;sin_repuestos;21.000;0;21.000;Planta 1 - Rio Grande;Rio Grande;Tecnico 4;0h 45min;28/2/2025;1/3/2025;2025
SV-002704;EQP-0087;CLI-038;Cliente 038;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;2/7/2023 21:00;3/7/2023 21:00;0,29;J. Pérez;OK;sin_repuestos;8.120;0;8.120;Oficina 1 - Rio Grande;Rio Grande;Tecnico 1;0h 17min;2/7/2023;3/7/2023;2023
SV-002707;EQP-0087;CLI-038;Cliente 038;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;23/12/2024 21:00;24/12/2024 21:00;0,25;J. Pérez;OK;sin_repuestos;7.000;0;7.000;Oficina 1 - Rio Grande;Rio Grande;Tecnico 1;0h 15min;23/12/2024;24/12/2024;2024
SV-002709;EQP-0087;CLI-038;Cliente 038;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/6/2025 21:00;25/6/2025 21:00;0,49;R. Soto;OK;sin_repuestos;13.720;0;13.720;Oficina 1 - Rio Grande;Rio Grande;Tecnico 4;0h 29min;24/6/2025;25/6/2025;2025
SV-002848;EQP-0098;CLI-039;Cliente 039;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;4/1/2024 21:00;5/1/2024 21:00;0,51;S. López;OK;sin_repuestos;14.280;0;14.280;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 5;0h 31min;4/1/2024;5/1/2024;2024
SV-002850;EQP-0098;CLI-039;Cliente 039;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;3/7/2024 21:00;4/7/2024 21:00;0,46;M. Ruiz;OK;sin_repuestos;12.880;0;12.880;Sucursal 3 - Rio Grande;Rio Grande;Tecnico 3;0h 28min;3/7/2024;4/7/2024;2024
SV-002916;EQP-0081;CLI-040;Cliente 040;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;27/3/2022 21:00;28/3/2022 21:00;0,7;R. Soto;OK;sin_repuestos;19.600;0;19.600;Obra 5 - Rio Grande;Rio Grande;Tecnico 4;0h 42min;27/3/2022;28/3/2022;2022
SV-002917;EQP-0081;CLI-040;Cliente 040;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/6/2022 21:00;25/6/2022 21:00;0,5;R. Soto;OK;sin_repuestos;14.000;0;14.000;Obra 5 - Rio Grande;Rio Grande;Tecnico 4;0h 30min;24/6/2022;25/6/2022;2022
SV-002998;EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;31/12/2022 21:00;1/1/2023 21:00;0,33;S. López;OK;sin_repuestos;9.240;0;9.240;Sucursal 4 - Rio Grande;Rio Grande;Tecnico 5;0h 20min;31/12/2022;1/1/2023;2022
SV-003000;EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;6/3/2023 21:00;3/7/2023 21:00;0,63;L. Gómez;OK;sin_repuestos;17.640;0;17.640;Sucursal 4 - Rio Grande;Rio Grande;Tecnico 2;0h 38min;6/3/2023;3/7/2023;2023
SV-003001;EQP-0014;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;25/12/2023 21:00;26/12/2023 21:00;0,53;J. Pérez;OK;sin_repuestos;14.840;0;14.840;Sucursal 4 - Rio Grande;Rio Grande;Tecnico 1;0h 32min;25/12/2023;26/12/2023;2023
SV-003111;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;31/12/2021 21:00;1/1/2022 21:00;0,3;M. Gómez;OK;sin_repuestos;8.400;0;8.400;Obra 1 - Rio Grande;Rio Grande;Tecnico 7;0h 18min;31/12/2021;1/1/2022;2021
SV-003113;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/6/2022 21:00;26/6/2022 21:00;0,48;J. Pérez;OK;sin_repuestos;13.440;0;13.440;Obra 1 - Rio Grande;Rio Grande;Tecnico 1;0h 29min;26/6/2022;26/6/2022;2022
SV-003115;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;6/10/2023 21:00;7/10/2023 21:00;0,53;M. Gómez;OK;sin_repuestos;14.840;0;14.840;Obra 1 - Rio Grande;Rio Grande;Tecnico 7;0h 32min;6/10/2023;7/10/2023;2023
SV-003116;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;3/7/2024 21:00;4/7/2024 21:00;0,25;R. Soto;OK;sin_repuestos;7.000;0;7.000;Obra 1 - Rio Grande;Rio Grande;Tecnico 4;0h 15min;3/7/2024;4/7/2024;2024
SV-003119;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;30/3/2025 21:00;31/3/2025 21:00;0,55;A. Torres;OK;sin_repuestos;15.400;0;15.400;Obra 1 - Rio Grande;Rio Grande;Tecnico 6;0h 33min;30/3/2025;31/3/2025;2025
SV-003120;EQP-0034;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;30/6/2025 21:00;1/7/2025 21:00;0,38;R. Soto;OK;sin_repuestos;10.640;0;10.640;Obra 1 - Rio Grande;Rio Grande;Tecnico 4;0h 23min;30/6/2025;1/7/2025;2025
SV-003218;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;25/10/2022 21:00;26/10/2022 21:00;0,66;J. Pérez;OK;sin_repuestos;18.480;0;18.480;Taller 1 - Rio Grande;Rio Grande;Tecnico 1;0h 40min;25/10/2022;26/10/2022;2022
SV-003219;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;24/1/2023 21:00;25/1/2023 21:00;0,45;A. Torres;OK;sin_repuestos;12.600;0;12.600;Taller 1 - Rio Grande;Rio Grande;Tecnico 6;0h 27min;24/1/2023;25/1/2023;2023
SV-003221;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;1/11/2023 21:00;2/11/2023 21:00;0,25;J. Pérez;OK;sin_repuestos;7.000;0;7.000;Taller 1 - Rio Grande;Rio Grande;Tecnico 1;0h 15min;1/11/2023;2/11/2023;2023
SV-003222;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;23/1/2024 21:00;24/1/2024 21:00;1,5;R. Soto;OK;sin_repuestos;14.000;0;14.000;Taller 1 - Rio Grande;Rio Grande;Tecnico 4;1h 30min;23/1/2024;24/1/2024;2024
SV-003223;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;29/4/2024 21:00;30/4/2024 21:00;0,68;R. Soto;OK;sin_repuestos;19.040;0;19.040;Taller 1 - Rio Grande;Rio Grande;Tecnico 4;0h 41min;29/4/2024;30/4/2024;2024
SV-003224;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;28/7/2024 21:00;29/7/2024 21:00;0,58;M. Ruiz;OK;sin_repuestos;16.240;0;16.240;Taller 1 - Rio Grande;Rio Grande;Tecnico 3;0h 35min;28/7/2024;29/7/2024;2024
SV-003225;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;3/11/2024 21:00;4/11/2024 21:00;0,33;A. Torres;OK;sin_repuestos;9.240;0;9.240;Taller 1 - Rio Grande;Rio Grande;Tecnico 6;0h 20min;3/11/2024;4/11/2024;2024
SV-003226;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;5/5/2025 21:00;6/5/2025 21:00;1,5;S. López;OK;sin_repuestos;16.240;0;16.240;Taller 1 - Rio Grande;Rio Grande;Tecnico 5;1h 30min;5/5/2025;6/5/2025;2025
SV-003227;EQP-0038;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;31/7/2025 21:00;1/8/2025 21:00;0,57;R. Soto;OK;sin_repuestos;15.960;0;15.960;Taller 1 - Rio Grande;Rio Grande;Tecnico 4;0h 34min;31/7/2025;1/8/2025;2025
SV-003531;EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/2/2024 21:00;26/2/2024 21:00;1,5;R. Soto;OK;sin_repuestos;14.280;0;14.280;Obra 4 - Rio Grande;Rio Grande;Tecnico 4;1h 30min;26/2/2024;26/2/2024;2024
SV-003532;EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;1/12/2024 21:00;2/12/2024 21:00;0,42;M. Gómez;OK;sin_repuestos;11.760;0;11.760;Obra 4 - Rio Grande;Rio Grande;Tecnico 7;0h 25min;1/12/2024;2/12/2024;2024
SV-003533;EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;26/2/2025 21:00;26/2/2025 21:00;0,47;S. López;OK;sin_repuestos;13.160;0;13.160;Obra 4 - Rio Grande;Rio Grande;Tecnico 5;0h 28min;26/2/2025;26/2/2025;2025
SV-003534;EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;27/3/2025 21:00;28/3/2025 21:00;0,37;M. Ruiz;OK;sin_repuestos;10.360;0;10.360;Obra 4 - Rio Grande;Rio Grande;Tecnico 3;0h 22min;27/3/2025;28/3/2025;2025
SV-003535;EQP-0073;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;29/8/2025 21:00;30/8/2025 21:00;1,5;R. Soto;OK;sin_repuestos;12.600;0;12.600;Obra 4 - Rio Grande;Rio Grande;Tecnico 4;1h 30min;29/8/2025;30/8/2025;2025
SV-003660;EQP-0084;CLI-044;Cliente 044;Soldadora Lincoln Ranger;Lincoln Electric;Ranger 305D;LR-008;Prueba de arranque y verificacion de batería;29/9/2022 21:00;30/9/2022 21:00;0,41;J. Pérez;OK;sin_repuestos;11.480;0;11.480;Oficina 3 - Rio Grande;Rio Grande;Tecnico 1;0h 25min;29/9/2022;30/9/2022;2022
