inventario_id;cliente_id;Locacion;Ciudad;tipo_equipo;marca;modelo;plan_id;actividad;frecuencia_meses;criticidad;programado_para;programado_para_normalizada;estado;fecha_ejecucion_normalizada;fecha_ejecucion;responsable;duracion_estimada_h
EQP-0057;CLI-030;Planta 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2025;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0057;CLI-030;Planta 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2023;Planificado;;Sin datos;R. SOTO;5
EQP-0087;CLI-038;Oficina 1 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2022;Planificado;;Sin datos;R. SOTO;5
EQP-0014;CLI-044;Sucursal 4 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2025;Planificado;;Sin datos;S. LÓPEZ;5
EQP-0034;CLI-044;Obra 1 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2025;Planificado;;Sin datos;M. RUIZ;5
EQP-0084;CLI-044;Oficina 3 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2022;Planificado;;Sin datos;M. RUIZ;5
EQP-0095;CLI-044;Taller 2 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2024;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0095;CLI-044;Taller 2 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2023;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0063;CLI-048;Sucursal 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2022;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0063;CLI-048;Sucursal 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2025;Planificado;;Sin datos;A. TORRES;5
EQP-0063;CLI-048;Sucursal 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;;Planificado;;Sin datos;J. PÉREZ;5
EQP-0004;CLI-049;Planta 4 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2023;Planificado;;Sin datos;A. TORRES;5
EQP-0059;CLI-049;Oficina 1 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/8/2023;Planificado;;Sin datos;M. RUIZ;5
EQP-0059;CLI-049;Oficina 1 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/11/2022;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0044;CLI-017;Taller 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2025;Planificado;;Sin datos;SIN DATOS;5
EQP-0044;CLI-017;Taller 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2025;Planificado;;Sin datos;SIN DATOS;5
EQP-0082;CLI-001;Planta 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/9/2025;Planificado;;Sin datos;S. LÓPEZ;5
EQP-0042;CLI-048;Oficina 1 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2025;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0099;CLI-005;Depósito 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2024;Planificado;;Sin datos;R. SOTO;5
EQP-0018;CLI-026;Obra 3 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2025;Planificado;;Sin datos;A. TORRES;5
EQP-0055;CLI-049;Planta 1 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/3/2025;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0087;CLI-038;Oficina 1 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2024;Planificado;;Sin datos;S. LÓPEZ;5
EQP-0038;CLI-044;Taller 1 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/2/2025;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0027;CLI-049;Depósito 5 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/6/2025;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0027;CLI-049;Depósito 5 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/9/2022;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0045;CLI-005;Sucursal 3 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2025;Planificado;;Sin datos;S. LÓPEZ;5
EQP-0099;CLI-005;Depósito 4 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2025;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0001;CLI-025;Sucursal 3 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2025;Planificado;;Sin datos;SIN DATOS;5
EQP-0058;CLI-008;Oficina 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/12/2023;Planificado;;Sin datos;SIN DATOS;5
EQP-0006;CLI-036;Planta 1 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/9/2025;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0066;CLI-026;Obra 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2023;Planificado;;Sin datos;M. RUIZ;5
EQP-0099;CLI-005;Depósito 4 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2025;Planificado;;Sin datos;R. SOTO;5
EQP-0055;CLI-049;Planta 1 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/3/2024;Planificado;;Sin datos;R. SOTO;5
EQP-0073;CLI-044;Obra 4 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/9/2024;Planificado;;Sin datos;S. LÓPEZ;5
EQP-0057;CLI-030;Planta 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2022;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0004;CLI-049;Planta 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2023;Planificado;;Sin datos;A. TORRES;5
EQP-0034;CLI-044;Obra 1 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2024;Planificado;;Sin datos;SIN DATOS;5
EQP-0057;CLI-030;Planta 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2022;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0099;CLI-005;Depósito 4 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2023;Planificado;;Sin datos;J. PÉREZ;5
EQP-0041;CLI-005;Taller 2 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2023;Planificado;;Sin datos;R. SOTO;5
EQP-0011;CLI-049;Obra 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2023;Planificado;;Sin datos;M. RUIZ;5
EQP-0011;CLI-049;Obra 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;;Planificado;;Sin datos;M. RUIZ;5
EQP-0073;CLI-044;Obra 4 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/6/2024;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0059;CLI-049;Oficina 1 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/8/2022;Planificado;;Sin datos;A. TORRES;5
EQP-0027;CLI-049;Depósito 5 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/6/2023;Planificado;;Sin datos;J. PÉREZ;5
EQP-0059;CLI-049;Oficina 1 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/5/2024;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0087;CLI-038;Oficina 1 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2023;Planificado;;Sin datos;A. TORRES;5
EQP-0084;CLI-044;Oficina 3 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2024;Planificado;;Sin datos;S. LÓPEZ;5
EQP-0093;CLI-030;Sucursal 4 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2025;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0018;CLI-026;Obra 3 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;;Planificado;;Sin datos;J. PÉREZ;5
EQP-0027;CLI-049;Depósito 5 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/12/2022;Planificado;;Sin datos;A. TORRES;5
EQP-0058;CLI-008;Oficina 5 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/9/2025;Planificado;;Sin datos;R. SOTO;5
EQP-0095;CLI-044;Taller 2 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;;Planificado;;Sin datos;SIN DATOS;5
EQP-0098;CLI-039;Sucursal 3 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2023;Planificado;;Sin datos;M. RUIZ;5
EQP-0041;CLI-005;Taller 2 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;;Planificado;;Sin datos;S. LÓPEZ;5
EQP-0022;CLI-004;Planta 4 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2025;Planificado;;Sin datos;J. PÉREZ;5
EQP-0034;CLI-044;Obra 1 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2023;Planificado;;Sin datos;S. LÓPEZ;5
EQP-0042;CLI-048;Oficina 1 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2025;Planificado;;Sin datos;M. RUIZ;5
EQP-0003;CLI-048;Taller 3 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2023;Planificado;;Sin datos;J. PÉREZ;5
EQP-0016;CLI-049;Oficina 5 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/8/2025;Planificado;;Sin datos;A. TORRES;5
EQP-0038;CLI-044;Taller 1 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/5/2022;Planificado;;Sin datos;R. SOTO;5
EQP-0045;CLI-005;Sucursal 3 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2025;Planificado;;Sin datos;R. SOTO;5
EQP-0095;CLI-044;Taller 2 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2025;Planificado;;Sin datos;M. RUIZ;5
EQP-0066;CLI-026;Obra 5 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2022;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0098;CLI-039;Sucursal 3 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2025;Planificado;;Sin datos;L. GÓMEZ;5
EQP-0081;CLI-040;Obra 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2025;Planificado;;Sin datos;S. LÓPEZ;5
EQP-0057;CLI-030;Planta 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2023;Planificado;;Sin datos;SIN DATOS;5
EQP-0001;CLI-025;Sucursal 3 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2023;Planificado;;Sin datos;M. RUIZ;5
EQP-0011;CLI-049;Obra 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2025;Planificado;;Sin datos;A. TORRES;5
EQP-0034;CLI-044;Obra 1 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2024;Planificado;;Sin datos;J. PÉREZ;5
EQP-0093;CLI-030;Sucursal 4 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2022;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0038;CLI-044;Taller 1 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/5/2022;Planificado;;Sin datos;R. SOTO;5
EQP-0072;CLI-032;Oficina 5 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/5/2025;Planificado;;Sin datos;M. RUIZ;5
EQP-0042;CLI-048;Oficina 1 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2023;Planificado;;Sin datos;S. LÓPEZ;5
EQP-0081;CLI-040;Obra 5 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2024;Planificado;;Sin datos;M. RUIZ;5
EQP-0042;CLI-048;Oficina 1 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2024;Planificado;;Sin datos;R. SOTO;5
EQP-0001;CLI-025;Sucursal 3 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2024;Planificado;;Sin datos;S. LÓPEZ;5
EQP-0011;CLI-049;Obra 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2024;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0038;CLI-044;Taller 1 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/5/2023;Planificado;;Sin datos;A. TORRES;5
EQP-0059;CLI-049;Oficina 1 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/2/2024;Planificado;;Sin datos;M. RUIZ;5
EQP-0012;CLI-030;Depósito 2 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2025;Planificado;;Sin datos;A. TORRES;5
EQP-0083;CLI-005;Planta 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2022;Planificado;;Sin datos;A. TORRES;5
EQP-0083;CLI-005;Planta 5 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2024;Planificado;;Sin datos;J. PÉREZ;5
EQP-0018;CLI-026;Obra 3 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2024;Planificado;;Sin datos;M. RUIZ;5
EQP-0014;CLI-044;Sucursal 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/10/2025;Planificado;;Sin datos;S. LÓPEZ;5
EQP-0095;CLI-044;Taller 2 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2022;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0066;CLI-026;Obra 5 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2025;Planificado;;Sin datos;A. TORRES;5
EQP-0016;CLI-049;Oficina 5 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/11/2024;Planificado;;Sin datos;M. RUIZ;5
EQP-0057;CLI-030;Planta 4 - Tolhuin; Tolhuin;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2022;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0042;CLI-048;Oficina 1 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/1/2025;Planificado;;Sin datos;M. GÓMEZ;5
EQP-0084;CLI-044;Oficina 3 - Río Grande; Río Grande;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/4/2023;Planificado;;Sin datos;M. RUIZ;5
EQP-0083;CLI-005;Planta 5 - Ushuaia; Ushuaia;Soldadora;Lincoln Electric;Ranger 305D;LR-008;PRUEBA DE ARRANQUE Y VERIFICACIÓN DE BATERÍA;3;Media;;1/7/2024;Planificado;;Sin datos;L. GÓMEZ;5
