inventario_id,cliente_id,cliente_nombre,tipo_equipo,marca,modelo,fecha_lectura,horometro_h,ubicacion
EQP-0007,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 4.5,2022-11-01T00:00:00Z,969,Taller 4 - Ushuaia
EQP-0063,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-02-01T00:00:00Z,4189,Sucursal 4 - Tolhuin
EQP-0095,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-08-01T00:00:00Z,644,Taller 2 - Ushuaia
EQP-0081,CLI-040,Cliente 040,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-06-01T00:00:00Z,930,Obra 5 - Ushuaia
EQP-0015,CLI-032,Cliente 032,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2024-11-01T00:00:00Z,504,Planta 4 - Tolhuin
EQP-0095,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-01-02T00:00:00Z,1960,Taller 2 - Río Grande
EQP-0060,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2022-02-01T00:00:00Z,136,Taller 5 - Ushuaia
EQP-0022,CLI-004,Cliente 004,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-01-12T00:00:00Z,-115357,Planta 4 - Ushuaia
EQP-0005,CLI-001,Cliente 001,Motor Cummins,Cummins,QSB 6.7,2025-07-01T00:00:00Z,589,Oficina 2 - Tolhuin
EQP-0013,CLI-036,Cliente 036,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2025-08-01T00:00:00Z,2276,Oficina 1 - Tolhuin
EQP-0003,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-06-01T00:00:00Z,275,Taller 3 - Tolhuin
EQP-0064,CLI-038,Cliente 038,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2024-06-01T00:00:00Z,1695,Depósito 4 - Ushuaia
EQP-0077,CLI-044,Cliente 044,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2024-10-01T00:00:00Z,242,Planta 3 - Ushuaia
EQP-0042,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-10-01T00:00:00Z,1670,Oficina 1 - Ushuaia
EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-01-04T00:00:00Z,701,Planta 4 - Tolhuin
EQP-0094,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2022-11-01T00:00:00Z,1571,Taller 2 - Tolhuin
EQP-0018,CLI-026,Cliente 026,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-04-01T00:00:00Z,2018,Obra 3 - Río Grande
EQP-0032,CLI-026,Cliente 026,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-07-01T00:00:00Z,1981,Planta 3 - Tolhuin
EQP-0039,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2022-11-01T00:00:00Z,2025,Planta 2 - Ushuaia
EQP-0023,CLI-041,Cliente 041,Motor Cummins,Cummins,QSB 4.5,2025-01-01T00:00:00Z,907,Planta 5 - Ushuaia
EQP-0032,CLI-026,Cliente 026,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-08-01T00:00:00Z,2030,Planta 3 - Tolhuin
EQP-0083,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-01-01T00:00:00Z,3270,Planta 5 - Río Grande
EQP-0076,CLI-044,Cliente 044,Motor Cummins,Cummins,QSB 4.5,2024-12-01T00:00:00Z,166,Taller 2 - Ushuaia
EQP-0003,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-01-01T00:00:00Z,-96866,Taller 3 - Ushuaia
EQP-0099,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-06-01T00:00:00Z,1813,Depósito 4 - Río Grande
EQP-0092,CLI-026,Cliente 026,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2024-03-01T00:00:00Z,706,Planta 2 - Tolhuin
EQP-0015,CLI-032,Cliente 032,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2025-01-01T00:00:00Z,566,Planta 4 - Río Grande
EQP-0020,CLI-028,Cliente 028,Motor Cummins,Cummins,QSB 4.5,2025-08-01T00:00:00Z,1688,Depósito 3 - Tolhuin
EQP-0007,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 4.5,2023-11-01T00:00:00Z,1978,Taller 4 - Río Grande
EQP-0043,CLI-030,Cliente 030,Motor Cummins,Cummins,QSB 4.5,2025-03-01T00:00:00Z,-53788,Depósito 3 - Río Grande
EQP-0051,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2025-04-01T00:00:00Z,104,Planta 2 - Río Grande
EQP-0094,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-11-01T00:00:00Z,107650,Taller 2 - Río Grande
EQP-0086,CLI-014,Cliente 014,Motor Cummins,Cummins,QSB 6.7,2025-08-01T00:00:00Z,74,Planta 4 - Río Grande
EQP-0050,CLI-024,Cliente 024,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2025-01-01T00:00:00Z,2303,Taller 5 - Río Grande
EQP-0062,CLI-044,Cliente 044,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2024-01-01T00:00:00Z,1171,Obra 1 - Río Grande
EQP-0068,CLI-049,Cliente 049,Motor Cummins,Cummins,QSB 6.7,2024-09-01T00:00:00Z,2738,Oficina 3 - Tolhuin
EQP-0060,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2024-11-01T00:00:00Z,1548,Obra 3 - Tolhuin
EQP-0023,CLI-041,Cliente 041,Motor Cummins,Cummins,QSB 4.5,2024-06-01T00:00:00Z,301,Planta 5 - Ushuaia
EQP-0087,CLI-038,Cliente 038,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-01-08T00:00:00Z,657,Oficina 1 - Tolhuin
EQP-0014,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-02-01T00:00:00Z,208,Sucursal 4 - Río Grande
EQP-0028,CLI-026,Cliente 026,Motor Cummins,Cummins,QSB 4.5,2023-05-01T00:00:00Z,914,Planta 5 - Río Grande
EQP-0071,CLI-030,Cliente 030,Motor Cummins,Cummins,QSB 6.7,2025-09-01T00:00:00Z,1083,Taller 5 - Río Grande
EQP-0030,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2024-07-01T00:00:00Z,-62430,Taller 4 - Ushuaia
EQP-0098,CLI-039,Cliente 039,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-02-01T00:00:00Z,1166,Sucursal 3 - Tolhuin
EQP-0068,CLI-049,Cliente 049,Motor Cummins,Cummins,QSB 6.7,2025-06-01T00:00:00Z,-109360,Oficina 3 - Tolhuin
EQP-0059,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-01-02T00:00:00Z,474,Oficina 1 - Río Grande
EQP-0012,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-04-01T00:00:00Z,473,Depósito 2 - Ushuaia
EQP-0013,CLI-036,Cliente 036,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-03-01T00:00:00Z,823,Oficina 1 - Río Grande
EQP-0084,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-04-01T00:00:00Z,3985,Oficina 3 - Río Grande
EQP-0026,CLI-026,Cliente 026,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2024-05-01T00:00:00Z,552,Taller 4 - Tolhuin
EQP-0009,CLI-009,Cliente 009,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2023-02-01T00:00:00Z,1085,Oficina 5 - Ushuaia
EQP-0004,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-03-01T00:00:00Z,269,Planta 4 - Ushuaia
EQP-0019,CLI-036,Cliente 036,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2025-02-01T00:00:00Z,1504,Planta 1 - Tolhuin
EQP-0008,CLI-023,Cliente 023,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-08-01T00:00:00Z,-64804,Sucursal 4 - Río Grande
EQP-0014,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-01-01T00:00:00Z,117998,Sucursal 4 - Tolhuin
EQP-0018,CLI-026,Cliente 026,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-01-04T00:00:00Z,2937,Depósito 4 - Ushuaia
EQP-0100,CLI-032,Cliente 032,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2024-01-01T00:00:00Z,43703,Planta 2 - Río Grande
EQP-0070,CLI-044,Cliente 044,Motor Cummins,Cummins,QSB 4.5,2025-09-01T00:00:00Z,626,Obra 5 - Ushuaia
EQP-0013,CLI-036,Cliente 036,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-12-01T00:00:00Z,1364,Oficina 1 - Tolhuin
EQP-0022,CLI-004,Cliente 004,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-04-01T00:00:00Z,710,Planta 4 - Río Grande
EQP-0071,CLI-030,Cliente 030,Motor Cummins,Cummins,QSB 6.7,2025-04-01T00:00:00Z,-60574,Taller 5 - Tolhuin
EQP-0009,CLI-009,Cliente 009,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2024-07-01T00:00:00Z,2221,Oficina 5 - Río Grande
EQP-0012,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-09-01T00:00:00Z,4570,Depósito 2 - Tolhuin
EQP-0073,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-12-01T00:00:00Z,7805,Obra 4 - Río Grande
EQP-0094,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-12-01T00:00:00Z,4698,Taller 2 - Río Grande
EQP-0043,CLI-030,Cliente 030,Motor Cummins,Cummins,QSB 4.5,2024-07-01T00:00:00Z,3127,Depósito 3 - Río Grande
EQP-0017,CLI-049,Cliente 049,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-10-01T00:00:00Z,831,Sucursal 2 - Ushuaia
EQP-0069,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2024-03-01T00:00:00Z,14,Sucursal 2 - Tolhuin
EQP-0089,CLI-044,Cliente 044,Motor Cummins,Cummins,QSB 4.5,2022-11-01T00:00:00Z,568,Taller 3 - Tolhuin
EQP-0095,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-10-01T00:00:00Z,34116,Taller 2 - Tolhuin
EQP-0018,CLI-026,Cliente 026,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-07-01T00:00:00Z,2328,Obra 3 - Ushuaia
EQP-0095,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-01-10T00:00:00Z,364,Taller 2 - Río Grande
EQP-0009,CLI-009,Cliente 009,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2023-05-01T00:00:00Z,1318,Oficina 5 - Ushuaia
EQP-0056,CLI-011,Cliente 011,Motor Cummins,Cummins,QSB 6.7,2024-12-01T00:00:00Z,76,Obra 2 - Tolhuin
EQP-0074,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2023-04-01T00:00:00Z,209,Oficina 2 - Tolhuin
EQP-0090,CLI-024,Cliente 024,Motor Cummins,Cummins,QSB 4.5,2023-07-01T00:00:00Z,30,Sucursal 4 - Río Grande
EQP-0066,CLI-026,Cliente 026,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-07-01T00:00:00Z,2733,Oficina 5 - Ushuaia
EQP-0044,CLI-017,Cliente 017,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-01-01T00:00:00Z,200,Taller 5 - Río Grande
EQP-0002,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2025-04-01T00:00:00Z,3580,Sucursal 4 - Tolhuin
EQP-0093,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-09-01T00:00:00Z,51556,Sucursal 4 - Tolhuin
EQP-0093,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-06-01T00:00:00Z,113021,Sucursal 4 - Ushuaia
EQP-0042,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-07-01T00:00:00Z,3140,Oficina 1 - Ushuaia
EQP-0092,CLI-026,Cliente 026,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2023-08-01T00:00:00Z,425,Planta 2 - Tolhuin
EQP-0079,CLI-014,Cliente 014,Motor Cummins,Cummins,QSB 6.7,2024-10-01T00:00:00Z,347,Taller 2 - Tolhuin
EQP-0001,CLI-025,Cliente 025,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-05-01T00:00:00Z,223,Sucursal 3 - Río Grande
EQP-0089,CLI-044,Cliente 044,Motor Cummins,Cummins,QSB 4.5,2024-02-01T00:00:00Z,1434,Taller 3 - Tolhuin
EQP-0011,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-03-01T00:00:00Z,119297,Oficina 3 - Río Grande
EQP-0075,CLI-049,Cliente 049,Motor Cummins,Cummins,QSB 4.5,2022-04-01T00:00:00Z,306,Oficina 2 - Ushuaia
EQP-0080,CLI-049,Cliente 049,Motor Cummins,Cummins,QSB 6.7,2025-08-01T00:00:00Z,344,Depósito 3 - Ushuaia
EQP-0046,CLI-039,Cliente 039,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-01-06T00:00:00Z,764,Depósito 3 - Ushuaia
EQP-0026,CLI-026,Cliente 026,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2024-02-01T00:00:00Z,476,Taller 4 - Tolhuin
EQP-0018,CLI-026,Cliente 026,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-07-01T00:00:00Z,487,Obra 3 - Tolhuin
EQP-0088,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2025-06-01T00:00:00Z,1079,Sucursal 4 - Río Grande
EQP-0057,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-10-01T00:00:00Z,2271,Planta 4 - Tolhuin
EQP-0032,CLI-026,Cliente 026,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-08-01T00:00:00Z,1178,Planta 3 - Río Grande
EQP-0030,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2023-01-01T00:00:00Z,185,Taller 4 - Ushuaia
EQP-0012,CLI-030,Cliente 030,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-02-01T00:00:00Z,213,Depósito 2 - Río Grande
EQP-0076,CLI-044,Cliente 044,Motor Cummins,Cummins,QSB 4.5,2024-12-01T00:00:00Z,1661,Taller 2 - Ushuaia
EQP-0060,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2022-11-01T00:00:00Z,547,Obra 3 - Ushuaia
EQP-0028,CLI-026,Cliente 026,Motor Cummins,Cummins,QSB 4.5,2024-06-01T00:00:00Z,1724,Planta 5 - Río Grande
EQP-0003,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-09-01T00:00:00Z,1181,Taller 3 - Ushuaia
EQP-0050,CLI-024,Cliente 024,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2024-05-01T00:00:00Z,1874,Taller 5 - Tolhuin
EQP-0064,CLI-038,Cliente 038,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2022-06-01T00:00:00Z,336,Depósito 4 - Ushuaia
EQP-0061,CLI-026,Cliente 026,Motor Cummins,Cummins,QSB 4.5,2025-10-01T00:00:00Z,1639,Planta 2 - Ushuaia
EQP-0059,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-06-01T00:00:00Z,573,Oficina 1 - Río Grande
EQP-0039,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-11-01T00:00:00Z,3999,Planta 2 - Ushuaia
EQP-0067,CLI-005,Cliente 005,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-10-01T00:00:00Z,3260,Sucursal 3 - Ushuaia
EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-04-01T00:00:00Z,128,Planta 4 - Tolhuin
EQP-0099,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-12-01T00:00:00Z,1305,Depósito 4 - Ushuaia
EQP-0063,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-07-01T00:00:00Z,108849,Sucursal 4 - Tolhuin
EQP-0074,CLI-049,Cliente 049,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2024-05-01T00:00:00Z,3714,Oficina 2 - Río Grande
EQP-0044,CLI-017,Cliente 017,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-01-01T00:00:00Z,33223,Taller 5 - Río Grande
EQP-0030,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2024-06-01T00:00:00Z,1888,Taller 4 - Río Grande
EQP-0095,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-04-01T00:00:00Z,2145,Taller 2 - Tolhuin
EQP-0098,CLI-039,Cliente 039,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-11-01T00:00:00Z,1057,Sucursal 3 - Río Grande
EQP-0030,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2025-09-01T00:00:00Z,3237,Taller 4 - Río Grande
EQP-0080,CLI-049,Cliente 049,Motor Cummins,Cummins,QSB 6.7,2023-01-01T00:00:00Z,1119,Depósito 3 - Ushuaia
EQP-0063,CLI-048,Cliente 048,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-06-01T00:00:00Z,3398,Sucursal 4 - Tolhuin
EQP-0013,CLI-036,Cliente 036,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-11-01T00:00:00Z,1288,Oficina 1 - Tolhuin
EQP-0034,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-08-01T00:00:00Z,774,Obra 1 - Río Grande
EQP-0004,CLI-049,Cliente 049,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-08-01T00:00:00Z,3062,Planta 4 - Río Grande
EQP-0058,CLI-008,Cliente 008,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-08-01T00:00:00Z,2671,Oficina 5 - Ushuaia
EQP-0030,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2024-12-01T00:00:00Z,2473,Taller 4 - Río Grande
EQP-0086,CLI-014,Cliente 014,Motor Cummins,Cummins,QSB 6.7,2024-04-01T00:00:00Z,78,Planta 4 - Río Grande
EQP-0082,CLI-001,Cliente 001,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2022-05-01T00:00:00Z,178,Planta 4 - Tolhuin
EQP-0040,CLI-038,Cliente 038,Generador Generac Guardian,Generac,Guardian 8 kVA (50Hz),2024-01-01T00:00:00Z,191,Sucursal 1 - Río Grande
EQP-0025,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-03-01T00:00:00Z,96,Oficina 4 - Tolhuin
EQP-0087,CLI-038,Cliente 038,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-09-01T00:00:00Z,2505,Oficina 1 - Ushuaia
EQP-0009,CLI-009,Cliente 009,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2025-02-01T00:00:00Z,-106621,Oficina 5 - Ushuaia
EQP-0099,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2025-06-01T00:00:00Z,3992,Depósito 4 - Tolhuin
EQP-0065,CLI-038,Cliente 038,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2023-09-01T00:00:00Z,1003,Taller 4 - Río Grande
EQP-0008,CLI-023,Cliente 023,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-11-01T00:00:00Z,3348,Sucursal 4 - Río Grande
EQP-0066,CLI-026,Cliente 026,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-11-01T00:00:00Z,502,Obra 5 - Tolhuin
EQP-0050,CLI-024,Cliente 024,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2023-06-01T00:00:00Z,1157,Obra 4 - Río Grande
EQP-0007,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 4.5,2023-10-01T00:00:00Z,1931,Taller 4 - Río Grande
EQP-0045,CLI-005,Cliente 005,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-10-01T00:00:00Z,39,Sucursal 3 - Río Grande
EQP-0039,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2023-04-01T00:00:00Z,69257,Planta 2 - Ushuaia
EQP-0087,CLI-038,Cliente 038,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-12-01T00:00:00Z,2751,Oficina 1 - Ushuaia
EQP-0009,CLI-009,Cliente 009,Generador Generac Guardian,Generac,Guardian 10 kVA (50Hz),2022-06-01T00:00:00Z,519,Oficina 5 - Ushuaia
EQP-0081,CLI-040,Cliente 040,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2023-05-01T00:00:00Z,518,Obra 5 - Ushuaia
EQP-0084,CLI-044,Cliente 044,Soldadora Lincoln Ranger,Lincoln Electric,Ranger 305D,2024-02-01T00:00:00Z,2475,Oficina 3 - Río Grande
EQP-0053,CLI-044,Cliente 044,Hidrolavadora Karcher,Kärcher,HDS 12/18-4 S,2023-11-01T00:00:00Z,533,Oficina 2 - Ushuaia
EQP-0030,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 6.7,2024-05-01T00:00:00Z,1774,Taller 4 - Ushuaia
EQP-0013,CLI-036,Cliente 036,Hidrolavadora Karcher,Kärcher,HDS 9/18-4 M,2024-03-01T00:00:00Z,1495,Oficina 1 - Río Grande
EQP-0065,CLI-038,Cliente 038,Generador Generac Guardian,Generac,Guardian 13 kVA (50Hz),2024-02-01T00:00:00Z,143,Taller 4 - Río Grande
EQP-0007,CLI-036,Cliente 036,Motor Cummins,Cummins,QSB 4.5,2024-05-01T00:00:00Z,2485,Taller 4 - Río Grande
